id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
419219,Female,45,1,45.0,0,1-2 Year,Yes,31313.0,26.0,221
419220,Female,25,1,8.0,0,< 1 Year,Yes,54015.0,152.0,14
419221,Female,46,1,41.0,0,1-2 Year,Yes,29071.0,124.0,46
419222,Female,71,1,14.0,1,1-2 Year,No,2630.0,26.0,51
419223,Male,46,1,48.0,0,1-2 Year,Yes,2630.0,26.0,292
419224,Female,26,1,28.0,1,< 1 Year,No,27561.0,152.0,148
419225,Female,64,1,28.0,1,1-2 Year,No,34721.0,152.0,175
419226,Male,25,1,39.0,1,< 1 Year,Yes,39145.0,152.0,109
419227,Female,21,1,33.0,1,< 1 Year,No,32520.0,152.0,58
419228,Female,64,1,26.0,0,1-2 Year,No,38340.0,154.0,239
419229,Female,46,1,47.0,0,1-2 Year,Yes,35335.0,26.0,30
419230,Female,22,1,45.0,1,< 1 Year,No,24381.0,152.0,98
419231,Female,41,1,43.0,0,1-2 Year,Yes,34130.0,154.0,82
419232,Male,24,1,30.0,1,< 1 Year,No,23337.0,152.0,216
419233,Male,60,1,3.0,0,1-2 Year,Yes,30159.0,26.0,168
419234,Male,46,1,41.0,1,1-2 Year,No,35698.0,26.0,214
419235,Female,31,1,28.0,0,< 1 Year,Yes,54977.0,124.0,152
419236,Female,68,1,8.0,0,1-2 Year,Yes,2630.0,26.0,281
419237,Male,28,1,8.0,0,1-2 Year,Yes,2630.0,156.0,188
419238,Male,50,1,50.0,0,1-2 Year,Yes,40776.0,26.0,144
419239,Male,24,1,8.0,0,< 1 Year,No,77482.0,152.0,61
419240,Male,39,1,45.0,0,1-2 Year,Yes,24617.0,124.0,230
419241,Male,24,1,29.0,1,< 1 Year,No,27293.0,152.0,133
419242,Male,36,1,39.0,0,1-2 Year,No,2630.0,157.0,181
419243,Male,34,1,3.0,0,1-2 Year,Yes,48917.0,124.0,39
419244,Female,49,1,8.0,0,1-2 Year,Yes,35329.0,124.0,258
419245,Male,53,1,37.0,0,1-2 Year,Yes,35597.0,124.0,36
419246,Male,27,1,15.0,0,< 1 Year,Yes,34630.0,152.0,59
419247,Male,72,1,46.0,0,1-2 Year,Yes,59288.0,26.0,198
419248,Female,56,1,22.0,0,1-2 Year,Yes,30053.0,26.0,192
419249,Female,25,1,10.0,1,< 1 Year,No,24983.0,152.0,225
419250,Female,76,1,28.0,0,> 2 Years,Yes,2630.0,157.0,215
419251,Male,61,1,28.0,0,1-2 Year,No,42172.0,26.0,230
419252,Male,64,1,30.0,1,1-2 Year,No,32856.0,124.0,241
419253,Male,47,1,28.0,0,1-2 Year,Yes,34616.0,124.0,138
419254,Female,24,1,11.0,0,< 1 Year,No,2630.0,156.0,52
419255,Male,44,1,28.0,0,1-2 Year,Yes,57443.0,124.0,273
419256,Male,22,1,25.0,1,< 1 Year,No,27576.0,152.0,81
419257,Female,50,1,6.0,0,1-2 Year,Yes,29615.0,152.0,106
419258,Female,50,1,28.0,0,1-2 Year,Yes,44769.0,124.0,218
419259,Male,45,1,50.0,0,1-2 Year,Yes,31451.0,26.0,226
419260,Male,73,1,28.0,0,1-2 Year,Yes,44648.0,122.0,210
419261,Female,40,1,9.0,0,1-2 Year,Yes,35951.0,124.0,252
419262,Female,27,1,10.0,1,< 1 Year,No,39117.0,151.0,200
419263,Male,46,1,28.0,1,1-2 Year,No,44131.0,124.0,147
419264,Female,47,1,28.0,0,1-2 Year,Yes,37745.0,139.0,178
419265,Male,36,1,8.0,0,1-2 Year,Yes,38647.0,160.0,128
419266,Male,50,1,7.0,0,1-2 Year,Yes,38567.0,26.0,273
